id,label,generator,ship,n_frames,min,p05,median,mean,p95,max,frame_corr,pill_on_fraction,n_transitions,max_median5,headroom,verdict,frac_ge_0.1266,frac_ge_0.5,frac_ge_0.6388,frac_ge_0.9446,median_ship,median_mjv5,median_gan_only,median_sidonly
ai_runway_bicycle,ai,RunwayML,1,30,0.999,0.9991,0.9999,0.9997,1.0,1.0,0.5087,0.9,1,1.0,-0.0554,pinned_correct,1.0,1.0,1.0,1.0,0.9999,0.9997,0.9996,1.0
ai_runway_dog,ai,RunwayML,1,30,0.8317,0.914,0.9972,0.9825,1.0,1.0,0.4044,0.9,1,1.0,-0.0554,pinned_correct,1.0,1.0,1.0,0.9,0.9972,0.9929,0.9971,0.9948
ai_veo_cooking,ai,Veo (pre-release),1,19,0.023,0.0232,0.1313,0.2155,0.7116,0.868,0.902,0.0,0,0.6129,0.3317,pinned_wrong,0.579,0.158,0.105,0.0,0.1313,0.001,0.1346,0.0035
ai_veo_park,ai,Veo (pre-release),1,19,0.008,0.0155,0.1455,0.2458,0.8472,0.9789,0.8217,0.0,0,0.6686,0.276,pinned_wrong,0.579,0.158,0.158,0.053,0.1455,0.0008,0.0931,0.0024
real_bialik_station,real,,1,30,0.0009,0.001,0.0031,0.0038,0.0079,0.0105,0.3818,0.0,0,0.0074,0.9372,pinned_correct,0.0,0.0,0.0,0.0,0.0031,0.0364,0.0111,0.0479
real_chinatown_parade,real,,1,30,0.0001,0.0002,0.0012,0.0033,0.0106,0.0201,0.3253,0.0,0,0.0067,0.9379,pinned_correct,0.0,0.0,0.0,0.0,0.0012,0.0003,0.0004,0.0009
real_manirimdu_festival,real,,1,30,0.0,0.0001,0.0001,0.0002,0.0004,0.0006,0.5041,0.0,0,0.0003,0.9443,pinned_correct,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0003,0.0002
real_stock_kitchen,real,,1,30,0.7,0.7347,0.9129,0.8883,0.9621,0.9744,0.1557,0.0,0,0.9496,-0.005,pinned_correct,1.0,1.0,1.0,0.133,0.9129,0.6734,0.8083,0.9515
real_stock_park,real,,1,30,0.0087,0.0121,0.03,0.051,0.1257,0.1937,0.5242,0.0,0,0.113,0.8316,pinned_correct,0.067,0.0,0.0,0.0,0.03,0.1293,0.4679,0.1983
ai_videopoet_jog,ai,VideoPoet,1,30,0.5184,0.7451,0.9932,0.9483,0.9998,0.9999,0.5413,0.9,1,0.9997,-0.0551,pinned_correct,1.0,1.0,0.967,0.8,0.9932,0.8422,0.9925,0.9495
