eval subset: 691 real / 1309 fake

arm                          clean   both↓  fakes↓  REALS↓  FP clean  FP down
------------------------------------------------------------------------------
A_ship (sid+laion+mjv5)     0.9994  0.9996  0.9995  0.9995      0.7%     1.0%
B +COCO reals               0.9999  1.0000  0.9999  1.0000      0.1%     0.0%
C +GAN                      0.9851  0.9217  0.9867  0.9209     15.5%    69.5%
D +both                     0.9990  0.9960  0.9990  0.9963      1.2%     5.1%
SHIPPED mjv5 (sid 12k)      0.9994  0.9996  0.9994  0.9996      0.7%     0.7%
#20 mjv5 base               0.9994  0.9996  0.9995  0.9995      0.7%     1.0%
#20 MJv4 base               0.9956  0.9907  0.9970  0.9888      3.0%    12.3%
#22 ship base               0.9988  0.9955  0.9990  0.9952      1.6%     7.4%
#22 +pixdiff                0.9970  0.9891  0.9976  0.9872      2.2%    12.0%
